Date,Hour,HOEP
09-Jan-18,8,37.56
09-Jan-18,9,39.53
09-Jan-18,10,37.28
09-Jan-18,11,39.15
09-Jan-18,12,37.97
09-Jan-18,13,38.59
09-Jan-18,14,39.39
09-Jan-18,15,36.56
09-Jan-18,16,35.56
09-Jan-18,17,42.36
09-Jan-18,18,43.85
09-Jan-18,19,42.36
09-Jan-18,20,43.02
09-Jan-18,21,41.34
09-Jan-18,22,38.31
09-Jan-18,23,41.66
09-Jan-18,24,30.97
10-Jan-18,1,6.57
10-Jan-18,2,3.33
10-Jan-18,3,0.00
10-Jan-18,4,3.32
10-Jan-18,5,0.00
10-Jan-18,6,0.00
10-Jan-18,7,4.86
10-Jan-18,8,22.02
10-Jan-18,9,13.97
10-Jan-18,10,21.61
10-Jan-18,11,19.91
10-Jan-18,12,13.34
10-Jan-18,13,13.33
10-Jan-18,14,37.91
10-Jan-18,15,31.24
10-Jan-18,16,6.19
10-Jan-18,17,5.75
10-Jan-18,18,28.69
10-Jan-18,19,29.48
10-Jan-18,20,12.84
10-Jan-18,21,8.21
10-Jan-18,22,5.23
10-Jan-18,23,4.78
10-Jan-18,24,2.39
11-Jan-18,1,0.00
11-Jan-18,2,0.00
11-Jan-18,3,0.00
11-Jan-18,4,0.00
11-Jan-18,5,0.00
11-Jan-18,6,0.00
11-Jan-18,7,0.51
11-Jan-18,8,6.23
11-Jan-18,9,0.00
11-Jan-18,10,0.00
11-Jan-18,11,9.20
11-Jan-18,12,2.72
11-Jan-18,13,0.00
11-Jan-18,14,10.16
11-Jan-18,15,6.02
11-Jan-18,16,6.63
11-Jan-18,17,37.60
11-Jan-18,18,18.28
11-Jan-18,19,10.21
11-Jan-18,20,13.58
11-Jan-18,21,19.50
11-Jan-18,22,15.81
11-Jan-18,23,12.12
11-Jan-18,24,0.00
12-Jan-18,1,0.43
12-Jan-18,2,0.00
12-Jan-18,3,0.00
12-Jan-18,4,0.00
12-Jan-18,5,6.83
12-Jan-18,6,0.43
12-Jan-18,7,0.00
12-Jan-18,8,15.79
12-Jan-18,9,115.99
12-Jan-18,10,136.13
12-Jan-18,11,55.62
12-Jan-18,12,78.89
12-Jan-18,13,65.22
12-Jan-18,14,13.69
12-Jan-18,15,18.91
12-Jan-18,16,15.55
12-Jan-18,17,13.01
12-Jan-18,18,34.87
12-Jan-18,19,32.77
12-Jan-18,20,33.43
12-Jan-18,21,31.39
12-Jan-18,22,22.75
12-Jan-18,23,25.34
12-Jan-18,24,12.36
13-Jan-18,1,16.98
13-Jan-18,2,33.97
13-Jan-18,3,56.31
13-Jan-18,4,19.16
13-Jan-18,5,9.57
13-Jan-18,6,23.78
13-Jan-18,7,5.23
13-Jan-18,8,31.66
13-Jan-18,9,74.47
13-Jan-18,10,25.32
13-Jan-18,11,38.32
13-Jan-18,12,32.33
13-Jan-18,13,41.16
13-Jan-18,14,36.41
13-Jan-18,15,40.34
13-Jan-18,16,40.95
13-Jan-18,17,44.18
13-Jan-18,18,64.18
13-Jan-18,19,48.35
13-Jan-18,20,48.67
13-Jan-18,21,53.57
13-Jan-18,22,52.06
13-Jan-18,23,44.35
13-Jan-18,24,47.34
14-Jan-18,1,143.83
14-Jan-18,2,53.79
14-Jan-18,3,47.08
14-Jan-18,4,43.03
14-Jan-18,5,43.93
